label,data_time,data_memory,data_memory_inc,ml_time,ml_memory,ml_memory_inc
vertex-2024-08-06 21:11:00.732816,1.1563999652862549,256.0508,80.01959999999997,276.69600009918213,372.8867,36.703100000000006
vertex-2024-08-06 21:27:04.991623,1.2842001914978027,256.9219,80.1055,274.6953001022339,378.7891,34.546899999999994
vertex-2024-08-06 21:38:38.881176,1.215399980545044,253.5469,77.66409999999999,275.1805000305176,368.5469,34.61329999999998
vertex-2024-08-06 21:49:17.696060,1.300800085067749,256.0078,80.03509999999997,276.1926000118256,377.668,34.53129999999999
vertex-2024-08-06 23:08:51.251314,1.1877999305725098,256.1406,80.1054,274.3583998680115,377.9258,34.72659999999996
vertex-2024-08-07 22:16:40.313566,1.1866998672485352,255.6133,80.37890000000002,270.2273998260498,377.1641,34.64070000000004
vertex-2024-08-07 23:06:13.897908,1.190999984741211,255.7383,80.0821,273.27699995040894,377.2344,34.70319999999998
vertex-2024-08-07 23:17:54.477664,1.1192998886108398,255.1953,77.6328,272.427099943161,379.0273,34.68350000000004
vertex-2024-08-07 23:33:57.994851,1.1644001007080078,255.8516,80.2774,272.5494999885559,377.4219,34.78129999999999
vertex-2024-08-10 14:34:13.650694,1.1006999015808103,255.7891,80.11329999999998,271.09879994392395,377.6797,34.7774
vertex-2024-08-10 15:33:20.503835,1.1703999042510986,256.1211,80.3203,272.2767000198364,377.8008,34.6875
vertex-2024-08-10 16:10:29.748059,1.1756999492645264,253.7578,77.78120000000001,270.923700094223,377.375,34.578100000000006
vertex-2024-08-10 16:27:28.525505,1.1673998832702637,256.6523,80.08590000000004,271.3231999874115,378.3281,34.73829999999998
vertex-2024-08-10 16:41:38.530541,1.2448999881744385,255.7305,80.0469,272.68470001220703,377.3359,34.65229999999997
vertex-2024-08-10 17:02:46.655354,1.124500036239624,256.3477,80.06249999999997,271.9433000087738,378.2188,34.52350000000001
vertex-2024-08-10 17:13:16.427163,1.1895999908447266,255.9062,77.4804,271.3325998783112,370.7891,34.6524
vertex-2024-08-10 17:22:37.759290,1.1762001514434814,255.7812,77.8203,271.05049991607666,379.3867,34.617200000000025
vertex-2024-08-10 17:33:08.209051,1.159400224685669,255.8359,80.1523,270.2832000255585,377.5234,34.6875
vertex-2024-08-10 17:45:41.928687,1.1477999687194824,255.8555,79.7852,270.8932001590729,368.7227,32.60159999999996
vertex-2024-08-10 18:00:51.498151,1.1380000114440918,256.2109,80.17569999999998,271.5223000049591,377.9453,34.769499999999994
